"","snippet","time","correct","age","gender","selftaught","yearsofexperience","order","assessselfprogrammingskills"
"196","special.forArr3",24450.655,1,41,"female",NA,15,11,"4"
"260","special.forArr3",19557.855,0,39,"male",FALSE,7,2,"4"
"295","special.forArr3",11589.715,0,36,"male",FALSE,4,1,"4"
"307","special.forArr3",16558.185,0,22,"female",NA,2,2,"3"
"328","special.forArr3",7328.875,1,39,"male",FALSE,8,11,"4"
"353","special.forArr3",6107.39999999999,0,37,"female",FALSE,6,6,"4"
"378","special.forArr3",16988.15,0,27,"male",TRUE,1,1,"3"
"406","special.forArr3",6851.05000000002,1,26,"male",FALSE,2,12,"3"
"444","special.forArr3",19931.575,1,27,"male",TRUE,1,9,"3"
"486","special.forArr3",13105.6299999999,1,26,"male",FALSE,2,5,"3"
"520","special.forArr3",24113.685,0,36,"male",FALSE,15,2,"3"
"531","special.forArr3",15392.33,0,33,"male",FALSE,4,11,"2"
"539","special.forArr3",13196.085,1,44,"male",NA,10,5,"4"
"552","special.forArr3",11029,1,34,"male",TRUE,10,4,"5"
"563","special.forArr3",14208.4449999966,1,26,"male",FALSE,0,6,"2"
"611","special.forArr3",10012.6040000468,1,26,"male",FALSE,0,8,"2"
"643","special.forArr3",5312.495,1,39,"male",FALSE,8,7,"4"
"653","special.forArr3",12107.11,1,41,"male",FALSE,6,9,"3"
"705","special.forArr3",10253.06,1,26,"male",FALSE,0,14,"3"
"720","special.forArr3",15205.405,0,35,"male",FALSE,7,6,"4"
"798","special.forArr3",6103.13499999999,1,30,"male",FALSE,2,2,"3"
"866","special.forArr3",46730.875,1,19,"female",FALSE,0,5,"3"
"877","special.forArr3",9314.07500000001,1,19,"female",FALSE,0,8,"4"
"902","special.forArr3",48128.44,1,30,"male",FALSE,3,5,"3"
"915","special.forArr3",17110.815,1,28,"male",FALSE,1,2,"4"
"926","special.forArr3",9787.67999999999,1,28,"male",FALSE,1,11,"4"
"939","special.forArr3",7840.005,1,35,"male",FALSE,7,2,"4"
"953","special.forArr3",24421.2599999999,1,29,"male",FALSE,1,2,"3"
"1031","special.forArr3",7059.01499999998,1,28,"female",FALSE,0,6,"3"
"1056","special.forArr3",16012.455,1,32,"male",FALSE,5,11,"4"
"1120","special.forArr3",12806.415,1,28,"female",FALSE,2,5,"3"
"1163","special.forArr3",202.715000000004,0,25,"male",NA,8,13,"5"
"1204","special.forArr3",3105.01500000001,1,27,"male",TRUE,15,4,"4"
"1224","special.forArr3",38575.88,0,46,"male",TRUE,10,2,"5"
"1247","special.forArr3",10169.3049999997,1,38,"female",FALSE,11,13,"5"
"1271","special.forArr3",41984.88,0,30,"female",TRUE,2,4,"3"
"1319","special.forArr3",15216.33,1,36,"female",FALSE,10,2,"4"
"1329","special.forArr3",15524.855,1,27,"female",FALSE,7,7,"4"
"1357","special.forArr3",12570.295,1,36,"female",FALSE,10,8,"4"
"1389","special.forArr3",21417.525,1,22,"female",FALSE,2,2,"3"
"1408","special.forArr3",16449.8799999999,1,41,"male",FALSE,11,6,"5"
"1421","special.forArr3",26388.12,1,21,"female",FALSE,2,4,"2"
"1446","special.forArr3",12611.5,1,21,"female",FALSE,2,4,"2"
"1469","special.forArr3",6090.22500000001,1,22,"female",FALSE,2,10,"4"
"1488","special.forArr3",460.325000000012,0,22,"female",FALSE,2,9,"3"
"1520","special.forArr3",6594.3,1,22,"female",FALSE,7,2,"5"
"1531","special.forArr3",17980.0250000001,1,42,"male",NA,14,5,"null"
"1537","special.forArr3",15036,0,21,"female",FALSE,2,1,"4"
"1571","special.forArr3",16133.015,0,20,"female",FALSE,1,1,"4"
"1576","special.forArr3",928.735000000001,0,21,"female",NA,1,3,"5"
"1617","special.forArr3",5007.82499999995,1,20,"female",FALSE,1,12,"5"
"1629","special.forArr3",5561.62999999995,1,20,"female",FALSE,1,3,"5"
"1718","special.forArr3",12928.5800000001,0,33,"male",TRUE,10,6,"4"
"1728","special.forArr3",8548,0,22,"male",FALSE,2,8,"4"
"1831","special.forArr3",24577.755,1,39,"male",TRUE,13,3,"5"
"1874","special.forArr3",23477.37,0,27,"female",NA,10,2,"3"
"1940","special.forArr3",20379.5549999999,1,32,"male",TRUE,2,8,"2"
"1956","special.forArr3",11846.975,0,29,"male",FALSE,5,8,"4"
"1976","special.forArr3",8189.54000000001,1,21,"male",FALSE,1,11,"2"
"2075","special.forArr3",11247.845,1,32,"male",TRUE,2,12,"2"
"2126","special.forArr3",20439.49,1,21,"female",FALSE,2,8,"2"
"2167","special.forArr3",15545.54,1,24,"female",NA,3,8,"3"
"2180","special.forArr3",12937.145,1,24,"female",NA,3,6,"3"
"2191","special.forArr3",5579.51000000001,1,32,"male",TRUE,10,9,"5"
"2212","special.forArr3",14049.395,1,36,"male",FALSE,8,6,"5"
"2245","special.forArr3",10944.41,1,29,"male",TRUE,6,11,"4"
"2287","special.forArr3",20256.0049999999,1,43,"female",FALSE,1,6,"null"
"2314","special.forArr3",16042,1,18,"female",NA,NA,4,"null"
"2325","special.forArr3",22827.9999999999,0,19,"female",FALSE,0,5,"null"
